grad,kvadrata,sprat,broj_soba,vrsta_grijanja,lift,parking,novogradnja,namjesten,cijena
Sarajevo - Stari Grad,78,1,četverosoban,centralno,0,1,0,2,299000
Vogošća,60,4,2,centralno,1,0,0,0,230000
Sarajevo - Centar,60,1,3,centralno,0,1,0,2,230000
Sarajevo - Centar,77,2,četverosoban,centralno,0,1,0,0,295000
Sarajevo - Centar,77,2,četverosoban,centralno,0,1,0,1,295000
Sarajevo - Centar,91,2,3,centralno,0,1,0,2,348000
Sarajevo - Novo Sarajevo,68,3,3,centralno,0,0,0,2,260000
Sarajevo - Novo Sarajevo,68,3,3,centralno,0,0,0,2,260000
Sarajevo - Novi Grad,55,3,2,centralno,1,1,0,0,210000
Sarajevo - Centar,60,3,3,centralno,0,1,0,2,229000
Ilidža,69.45,3,četverosoban,centralno,1,0,1,2,265000
Sarajevo - Novo Sarajevo,84,1,3,plin,0,1,0,1,320000
Sarajevo - Centar,42,2,2,centralno,1,1,0,2,160000
Sarajevo - Novo Sarajevo,42,2,2,plin,0,1,0,2,160000
Sarajevo - Centar,71,4,2,centralno,0,1,0,2,270000
Sarajevo - Novi Grad,66.5,2,3,ostalo,0,1,1,0,252866
Sarajevo - Novi Grad,51.3,4,2,centralno,1,0,1,0,195068
Sarajevo - Novi Grad,59.8,3,2,centralno,1,0,1,0,227389
Sarajevo - Novi Grad,82.3,3,četverosoban,centralno,1,0,1,0,312945
Sarajevo - Novi Grad,82.3,2,četverosoban,ostalo,0,1,1,1,312945
Sarajevo - Stari Grad,50,1,2,centralno,0,1,0,2,190000
Sarajevo - Centar,65,prizemlje,3,centralno,0,1,1,0,246886
Sarajevo - Centar,87,4,četverosoban,centralno,0,0,0,1,330000
Sarajevo - Novo Sarajevo,66,visoko,3,centralno,1,1,0,0,250000
Sarajevo - Stari Grad,66,visoko,3,plin,0,1,0,1,250000
Sarajevo - Centar,66,2,3,centralno,0,1,0,1,250000
Sarajevo - Novi Grad,78.5,2,2,centralno,1,0,1,1,297000
Sarajevo - Centar,86,2,3,centralno,0,1,0,2,325000
Sarajevo - Centar,96,3,3,centralno,0,1,0,2,362740
Sarajevo - Novi Grad,65,11,2,centralno,1,1,0,2,245000
Sarajevo - Centar,73,prizemlje,3,struja,0,0,0,0,275000
Sarajevo - Novi Grad,93,1,četverosoban,centralno,0,1,0,0,350000
Sarajevo - Centar,97,2,2,centralno,1,1,1,0,365000
Sarajevo - Stari Grad,80,3,3,struja,0,1,0,0,301000
Ilidža,89,1,četverosoban,struja,1,0,1,0,334788
Vogošća,54,4,2,centralno,1,1,0,2,202900
Ilidža,45,3,2,centralno,0,0,0,2,169000
Ilidža,98,1,četverosoban,struja,1,0,1,0,368035
Sarajevo - Centar,104,3,3,plin,0,1,0,1,390000
Sarajevo - Centar,100,1,četverosoban,centralno,0,1,0,2,375000
Sarajevo - Centar,96,visoko,četverosoban,plin,0,1,0,2,360000
Sarajevo - Stari Grad,80,visoko,3,drva,0,1,0,2,300000
Sarajevo - Novo Sarajevo,80,13,3,centralno,1,1,0,2,300000
Sarajevo - Centar,68,3,3,plin,0,1,0,0,255000
Sarajevo - Novo Sarajevo,56,8,2,centralno,1,0,0,0,210000
Sarajevo - Novo Sarajevo,56,8,3,centralno,1,1,0,2,210000
Sarajevo - Centar,56,visoko,3,struja,0,1,0,2,210000
Sarajevo - Novo Sarajevo,56,8,3,centralno,1,0,0,2,210000
Sarajevo - Novo Sarajevo,56,8,2,centralno,1,0,0,0,210000
Sarajevo - Novi Grad,40,3,1.5,centralno,1,1,0,0,150000
Ilidža,80,6,3,plin,1,1,1,2,299000
Sarajevo - Centar,72,2,3,plin,0,0,0,2,269000
Sarajevo - Stari Grad,56,1,3,centralno,0,1,0,0,209000
Sarajevo - Novi Grad,48,8,2,centralno,1,1,0,0,179000
Ilidža,55,4,1.5,struja,1,1,1,0,205000
Sarajevo - Centar,83,1,3,struja,0,1,0,2,309000
Sarajevo - Centar,70,visoko,2,ostalo,0,1,0,0,260000
Sarajevo - Centar,97,visoko,četverosoban,plin,0,1,0,2,360000
Sarajevo - Novi Grad,89,7,četverosoban,centralno,1,1,0,2,330000
Sarajevo - Novi Grad,89,7,četverosoban,centralno,1,1,0,1,330000
Sarajevo - Stari Grad,85,1,četverosoban,plin,0,0,0,0,315000
Ilidža,51,3,2,centralno,0,1,0,2,189000
Ilidža,51,3,2,centralno,0,0,0,2,189000
Sarajevo - Stari Grad,78,1,četverosoban,centralno,0,1,0,1,289000
Ilidža,78,6,3,centralno,1,1,1,2,288500
Sarajevo - Centar,100,1,četverosoban,centralno,0,1,0,2,369000
Ilidža,70,1,2,plin,1,1,0,1,258000
Sarajevo - Novi Grad,51.3,1,2,ostalo,1,1,1,0,189066
Ilidža,57,8,3,centralno,1,0,0,1,210000
Sarajevo - Novi Grad,57,8,3,centralno,1,1,0,0,210000
Sarajevo - Novi Grad,53,4,2,centralno,1,1,0,2,195000
Ilidža,56,4,2,ostalo,1,1,1,2,206000
Sarajevo - Centar,95,4,četverosoban,centralno,0,1,0,2,349000
Sarajevo - Centar,49,1,1,plin,0,1,0,0,180000
Sarajevo - Centar,105,2,3,centralno,0,1,0,1,385000
Sarajevo - Novo Sarajevo,45,2,2,centralno,1,0,0,1,165000
Sarajevo - Novo Sarajevo,82,1,3,centralno,0,1,0,1,299900
Sarajevo - Novo Sarajevo,82,1,3,centralno,0,1,0,0,299900
Ilidža,61,5,1,centralno,1,1,1,2,223000
Sarajevo - Centar,75,5,3,centralno,0,0,0,1,274000
Ilidža,63,3,3,centralno,0,1,0,2,230000
Sarajevo - Centar,71,visoko,3,centralno,0,1,0,2,259150
Sarajevo - Novo Sarajevo,82,1,3,centralno,0,1,0,1,299000
Sarajevo - Novo Sarajevo,82,1,3,centralno,0,0,0,0,299000
Sarajevo - Centar,96,1,četverosoban,centralno,0,1,0,1,350000
Sarajevo - Stari Grad,66,visoko,3,plin,0,1,0,1,240000
Sarajevo - Centar,66,2,3,centralno,0,1,0,0,240000
Ilidža,55,9,1.5,centralno,1,1,1,0,200000
Sarajevo - Novo Sarajevo,49.5,5,2,plin,0,0,0,2,180000
Sarajevo - Novi Grad,52,5,2,centralno,0,1,0,0,189000
Ilidža,89,12,3,centralno,1,1,0,0,323352
Sarajevo - Centar,73,visoko,3,plin,0,1,0,0,265000
Ilidža,43,2,1,plin,0,0,1,2,156000
Sarajevo - Novi Grad,70.3,2,3,centralno,1,0,1,0,254978
Sarajevo - Novi Grad,51.3,2,2,centralno,1,0,1,0,186065
Sarajevo - Novi Grad,65,11,3,centralno,0,0,0,0,235000
Sarajevo - Novo Sarajevo,52,1,2,plin,0,1,0,2,188000
Sarajevo - Centar,72,1,3,centralno,0,1,1,0,260000
Sarajevo - Centar,97,1,3,ostalo,0,1,1,2,350000
Sarajevo - Stari Grad,97,1,3,struja,0,1,0,2,350000
Ilidža,79,4,3,ostalo,1,1,0,0,285000
Ilidža,45.78,13,2,centralno,0,0,0,2,165000
Sarajevo - Novo Sarajevo,98,3,3,centralno,0,1,0,0,353000
Sarajevo - Centar,75,1,3,plin,1,1,0,2,270000
Sarajevo - Novi Grad,64,visoko,3,centralno,0,0,0,2,230000
Sarajevo - Novo Sarajevo,71,4,3,centralno,0,0,0,0,255000
Sarajevo - Novo Sarajevo,68,2,2,struja,1,1,0,2,244000
Sarajevo - Novi Grad,87,4,četverosoban,centralno,0,1,0,0,312000
Sarajevo - Novi Grad,53,5,2,centralno,0,1,0,2,190000
Sarajevo - Centar,103,4,3,centralno,1,1,0,1,369000
Sarajevo - Novo Sarajevo,83,prizemlje,2,centralno,1,0,1,0,296750
Sarajevo - Novi Grad,110.2,prizemlje,3,centralno,1,0,1,0,393822
Sarajevo - Centar,81.2,8,3,centralno,1,1,0,0,290000
Sarajevo - Stari Grad,77,1,3,centralno,0,1,0,1,275000
Sarajevo - Centar,77,5,3,centralno,0,0,0,2,275000
Sarajevo - Stari Grad,77,1,3,centralno,0,1,0,1,275000
Ilidža,56,4,2,centralno,1,1,1,0,200000
Ilidža,42,5,2,centralno,1,1,1,0,150000
Ilidža,76,7,3,ostalo,1,1,1,0,271000
Sarajevo - Centar,48,2,2,centralno,0,1,0,0,171000
Sarajevo - Novi Grad,89,7,četverosoban,centralno,1,1,0,1,317000
Sarajevo - Centar,59,visoko,3,plin,0,0,0,0,210000
Ilidža,43,2,2,centralno,0,0,1,0,152900
Sarajevo - Novo Sarajevo,45,5,2,centralno,0,1,0,0,160000
Sarajevo - Novi Grad,100,prizemlje,5,centralno,0,0,0,0,355000
Ilidža,55,5,2,struja,1,1,1,0,195250
Sarajevo - Centar,62,prizemlje,2,centralno,0,0,1,0,220000
Sarajevo - Centar,62,-2,2,struja,0,1,1,0,220000
Sarajevo - Centar,73,visoko,3,struja,0,1,0,0,259000
Ilidža,79,7,3,centralno,1,1,0,1,280000
Ilidža,48,12,2,centralno,1,0,1,2,170000
Sarajevo - Novi Grad,71,1,3,plin,1,1,1,0,251265
Sarajevo - Novi Grad,65,4,3,plin,0,1,0,0,230000
Ilidža,79.15,7,3,plin,1,1,0,1,280000
Sarajevo - Novo Sarajevo,99,1,3,struja,0,1,0,2,350000
Sarajevo - Novi Grad,58,3,2,plin,1,0,0,2,205000
Sarajevo - Centar,73,prizemlje,3,struja,0,1,0,0,258000
Sarajevo - Centar,75,4,četverosoban,plin,0,0,0,0,265000
Sarajevo - Centar,75,4,četverosoban,centralno,0,1,0,0,265000
Sarajevo - Novo Sarajevo,85,1,četverosoban,plin,0,0,0,0,299999
Sarajevo - Stari Grad,53,1,2,centralno,1,1,1,0,186626
Sarajevo - Centar,71,2,3,centralno,0,1,0,2,249999
Ilidža,48,1,3,centralno,0,0,0,0,168900
Sarajevo - Novi Grad,76,10,3,centralno,1,1,0,1,267400
Sarajevo - Novi Grad,53.2,1,2,centralno,1,0,1,0,187083
Sarajevo - Novo Sarajevo,68,6,3,centralno,1,1,0,1,239000
Ilidža,62,1,3,centralno,0,0,1,0,217900
Sarajevo - Novi Grad,47,3,1.5,centralno,1,1,0,0,165000
Sarajevo - Novi Grad,62.3,prizemlje,2,centralno,1,0,1,0,218673
Sarajevo - Novi Grad,77,1,3,plin,1,1,0,2,270000
Ilidža,79,4,3,centralno,1,0,1,0,276570
Ilidža,95,4,3,ostalo,1,1,1,0,332500
Ilidža,94,9,3,ostalo,1,1,1,0,329000
Ilidža,91,10,3,ostalo,1,1,1,0,318500
Sarajevo - Novo Sarajevo,85,5,2,centralno,1,0,0,0,297500
Sarajevo - Centar,82,prizemlje,četverosoban,struja,0,1,0,0,287000
Ilidža,81,1,3,centralno,1,1,1,0,283500
Ilidža,75,5,3,struja,1,1,1,0,262500
Sarajevo - Novo Sarajevo,71,2,3,centralno,1,1,0,2,248500
Ilidža,65,3,3,plin,0,1,0,1,227500
Ilidža,60,3,3,struja,0,1,1,2,210000
Sarajevo - Novi Grad,55,2,2,centralno,1,1,0,2,192500
Ilidža,80,2,3,centralno,0,0,0,2,279900
Sarajevo - Centar,103,1,3,struja,0,1,0,0,360000
Sarajevo - Centar,83,3,3,plin,0,0,0,2,290000
Sarajevo - Centar,103,1,četverosoban,ostalo,0,1,0,2,359000
Sarajevo - Novo Sarajevo,86,1,četverosoban,plin,0,1,0,0,299000
Ilidža,52,1,3,struja,1,0,1,0,180513
Ilidža,52,1,3,ostalo,1,0,1,0,180513
Ilidža,49,8,2,centralno,1,1,1,2,169999
Sarajevo - Centar,46,prizemlje,3,plin,0,0,0,0,159000
Ilidža,57,4,2,plin,1,1,0,2,197000
Sarajevo - Novi Grad,68,4,2,plin,0,1,0,2,235000
Sarajevo - Centar,110,visoko,3,plin,0,0,0,2,380000
Sarajevo - Novi Grad,55,6,2,centralno,1,1,0,2,190000
Ilidža,66,1,3,struja,1,0,1,0,227833
Sarajevo - Novi Grad,70,1,2,centralno,1,0,0,1,241500
Sarajevo - Stari Grad,58,prizemlje,2,struja,0,1,0,2,200000
Ilidža,74,2,3,plin,0,1,0,1,255000
Sarajevo - Novo Sarajevo,81,1,3,centralno,0,1,0,2,279000
Ilidža,84,2,3,centralno,1,1,1,1,289000
Vogošća,64,prizemlje,2,centralno,0,0,0,2,220000
Sarajevo - Centar,87,1,3,centralno,0,1,0,2,299000
Sarajevo - Centar,55,6,2,plin,0,1,0,2,189000
Sarajevo - Novo Sarajevo,53,8,2,centralno,1,1,0,0,182000
Sarajevo - Centar,60,prizemlje,2,centralno,0,0,0,1,206000
Ilidža,67,4,2,centralno,1,1,0,1,230000
Ilidža,67,7,3,centralno,1,1,0,2,230000
Ilidža,102,3,četverosoban,centralno,1,1,0,1,349000
Ilidža,57,8,3,centralno,1,0,1,1,195000
Ilidža,45,1,2,centralno,0,0,0,0,153900
Sarajevo - Novi Grad,46,4,3,centralno,0,1,0,0,157000
Sarajevo - Novo Sarajevo,55,2,3,centralno,0,0,0,0,187500
Sarajevo - Novi Grad,69,4,2,centralno,0,1,0,2,235000
Sarajevo - Novo Sarajevo,57,19,2,centralno,1,1,0,1,194000
Sarajevo - Centar,82,8,četverosoban,centralno,1,1,0,1,279000
Sarajevo - Centar,92,3,četverosoban,centralno,0,1,0,0,312800
Sarajevo - Novi Grad,50,4,2,centralno,1,0,0,0,170000
Ilidža,49,2,2,centralno,1,1,0,1,166500
Ilidža,70.05,3,3,plin,1,1,0,2,238000
Ilidža,70.05,3,3,plin,1,1,0,2,238000
Ilidža,94,8,3,centralno,1,1,1,0,319362
Sarajevo - Novi Grad,58,4,2,centralno,1,0,0,2,197000
Sarajevo - Novi Grad,58,4,2,centralno,1,1,0,2,197000
Sarajevo - Novo Sarajevo,67,5,3,centralno,0,1,0,2,227500
Sarajevo - Novo Sarajevo,67,5,3,centralno,0,1,0,2,227500
Sarajevo - Novi Grad,81,1,četverosoban,struja,0,0,0,0,275000
Sarajevo - Novi Grad,81,1,četverosoban,struja,0,1,0,0,275000
Sarajevo - Novo Sarajevo,84,3,3,plin,0,1,0,2,285000
Sarajevo - Novo Sarajevo,56,2,2,centralno,0,1,0,2,189900
Sarajevo - Centar,87,1,3,centralno,0,1,0,2,295000
Ilidža,51,4,2,centralno,0,0,0,0,172900
Sarajevo - Novo Sarajevo,54,9,2,centralno,1,0,0,0,183000
Ilidža,47,1,2,struja,0,0,0,2,159000
Sarajevo - Centar,80,visoko,3,centralno,0,1,0,2,270000
Ilidža,56,2,2,plin,1,1,0,0,189000
Ilidža,48,2,2,centralno,1,0,1,0,161900
Sarajevo - Novo Sarajevo,46,1,2,centralno,0,1,0,1,155000
Sarajevo - Novo Sarajevo,65,visoko,3,ostalo,0,1,0,2,219000
Hadžići,49,7,2,ostalo,1,1,0,2,165000
Hadžići,49,8,1.5,struja,1,1,1,2,165000
Ilidža,77,6,3,centralno,1,1,0,2,259000
Ilidža,77,6,3,plin,1,1,0,2,258000
Ilidža,77,6,3,centralno,1,1,0,2,258000
Ilidža,69,5,3,centralno,1,1,0,1,231150
Sarajevo - Stari Grad,112,2,5,centralno,0,0,0,0,375000
Ilidža,55,1,3,centralno,0,0,0,0,183900
Sarajevo - Centar,90,2,3,struja,1,1,0,2,300000
Sarajevo - Centar,90,2,2,centralno,0,1,0,1,300000
Sarajevo - Centar,75,6,četverosoban,centralno,0,0,0,1,250000
Sarajevo - Novo Sarajevo,75,2,3,plin,0,1,0,2,250000
Sarajevo - Novo Sarajevo,75,2,3,plin,0,1,0,2,250000
Sarajevo - Centar,66,-3,2,centralno,1,1,0,2,220000
Sarajevo - Novi Grad,60,prizemlje,2,centralno,0,1,0,1,200000
Sarajevo - Novo Sarajevo,57,visoko,2,centralno,1,1,0,1,190000
Ilidža,48,2,2,plin,1,1,0,1,160000
Sarajevo - Novi Grad,75,4,3,centralno,1,0,0,1,249000
Ilidža,47,5,2,centralno,1,1,1,1,156000
Ilidža,57,8,2,centralno,1,0,0,2,189000
Sarajevo - Novo Sarajevo,54,4,2,centralno,0,1,0,2,179000
Sarajevo - Novi Grad,80,2,3,centralno,1,1,0,2,265000
Ilidža,51,1,2,centralno,0,0,0,0,168900
Vogošća,119,8,četverosoban,centralno,1,1,1,1,393855
Sarajevo - Novo Sarajevo,59,visoko,2,struja,0,1,0,0,195000
Sarajevo - Novi Grad,56,5,2,centralno,1,1,0,0,185000
Sarajevo - Novi Grad,58,2,2,ostalo,0,1,0,2,191400
Sarajevo - Novi Grad,57,2,2,centralno,0,1,0,2,188000
Sarajevo - Novi Grad,72,1,3,centralno,1,0,0,1,237000
Sarajevo - Novi Grad,70,1,3,centralno,1,1,0,1,230000
Sarajevo - Novi Grad,70,1,3,centralno,1,1,0,1,229990
Ilidža,76.2,5,3,plin,1,1,0,0,250000
Sarajevo - Novi Grad,57,2,3,centralno,0,0,0,1,187000
Sarajevo - Centar,90,2,četverosoban,centralno,0,1,0,0,295000
Sarajevo - Centar,90,2,četverosoban,plin,0,1,0,2,295000
Ilidža,87,1,3,plin,1,0,1,0,285000
Ilidža,87,1,3,centralno,1,0,1,0,285000
Sarajevo - Centar,58,suteren,2,centralno,0,1,0,1,190000
Ilidža,87,1,3,centralno,1,1,1,0,284900
Sarajevo - Novi Grad,79,3,četverosoban,centralno,0,1,0,1,258500
Sarajevo - Novi Grad,81,1,četverosoban,struja,0,1,0,1,265000
Ilidža,107,3,3,centralno,1,1,1,2,350000
Sarajevo - Novo Sarajevo,74,2,3,struja,0,1,0,0,242000
Ilidža,52,2,2,struja,0,1,0,2,170000
Ilidža,52,1,2,struja,0,0,0,0,170000
Ilidža,49,13,2,centralno,1,0,0,1,160000
Sarajevo - Novo Sarajevo,92,1,3,plin,1,1,0,2,300000
Sarajevo - Centar,90,2,četverosoban,plin,0,1,0,0,293000
Sarajevo - Centar,106,3,5,centralno,0,1,0,0,344995
Sarajevo - Novi Grad,63,1,3,centralno,1,1,0,2,205000
Sarajevo - Centar,60,1,3,plin,0,0,0,2,195000
Sarajevo - Novi Grad,50,7,1.5,centralno,1,1,0,1,162500
Ilidža,48,2,2,centralno,1,1,1,1,156000
Sarajevo - Novo Sarajevo,77,8,3,centralno,1,1,0,0,250000
Ilidža,77,2,3,plin,0,1,0,2,250000
Sarajevo - Novi Grad,77,3,3,centralno,1,1,0,2,250000
Ilidža,77,2,3,centralno,0,0,0,0,250000
Sarajevo - Stari Grad,87,3,četverosoban,centralno,0,1,0,2,282000
Sarajevo - Novo Sarajevo,58,2,2,struja,0,1,0,2,188000
Ilidža,49.4,13,2,centralno,1,0,0,1,160000
Sarajevo - Centar,65,3,3,centralno,0,1,0,0,210000
Sarajevo - Centar,65,3,2,centralno,0,0,0,1,210000
Sarajevo - Novo Sarajevo,57,5,2,centralno,0,0,0,0,184000
Sarajevo - Novi Grad,71,14,2,centralno,1,1,0,2,229000
Sarajevo - Centar,80.71,1,3,plin,0,0,0,1,260000
Sarajevo - Novi Grad,57,2,3,struja,0,1,1,0,183584
Sarajevo - Novo Sarajevo,59,prizemlje,2,centralno,0,0,0,0,190000
Sarajevo - Novo Sarajevo,74,2,3,ostalo,0,0,0,0,238000
Ilidža,65,5,3,centralno,1,1,0,1,209000
Sarajevo - Stari Grad,84,1,3,ostalo,0,1,0,0,270000
Ilidža,84,2,3,centralno,1,1,1,1,270000
Ilidža,70,2,2,struja,0,0,0,2,225000
Ilidža,70,2,2,struja,0,1,0,2,225000
Sarajevo - Novi Grad,72,4,3,centralno,1,1,1,1,230500
Ilidža,85,13,četverosoban,centralno,1,1,0,1,272000
Sarajevo - Novi Grad,55,visoko,2,centralno,0,1,0,2,176000
Ilidža,50,9,2,centralno,1,1,1,0,160000
Ilidža,78,6,četverosoban,centralno,1,1,0,2,249500
Sarajevo - Centar,81,1,četverosoban,plin,0,1,0,1,259000
Sarajevo - Novi Grad,52,3,2,centralno,0,0,0,1,166000
Ilidža,65,5,2,centralno,1,1,0,2,207000
Ilidža,65,5,2,centralno,1,1,0,2,207000
Ilidža,60,5,2,centralno,1,1,0,2,191000
Sarajevo - Centar,110,2,četverosoban,centralno,0,1,0,0,350000
Sarajevo - Novi Grad,77,9,3,centralno,1,1,0,1,245000
Sarajevo - Novi Grad,77,7,3,centralno,1,1,0,0,245000
Sarajevo - Stari Grad,72,2,3,centralno,0,1,0,1,229000
Hadžići,74,7,3,struja,1,1,1,2,235000
Sarajevo - Novi Grad,63,2,3,centralno,0,1,0,2,200000
Sarajevo - Novi Grad,52,5,2,centralno,0,1,0,1,165000
Sarajevo - Novi Grad,71,3,2,centralno,1,0,0,2,225000
Sarajevo - Novi Grad,71,3,3,centralno,1,0,0,2,225000
Sarajevo - Centar,98,4,3,ostalo,0,0,0,0,310000
Ilidža,49,4,2,plin,0,1,0,1,155000
Sarajevo - Centar,87,3,četverosoban,centralno,1,0,0,2,275000
Ilidža,76,5,četverosoban,struja,1,1,0,1,240000
Vogošća,103,5,četverosoban,plin,1,1,0,2,325000
Vogošća,103,5,5,plin,1,1,0,2,325000
Sarajevo - Centar,117,5,četverosoban,centralno,0,0,0,2,369000
Sarajevo - Novi Grad,65,3,3,centralno,1,1,0,2,205000
Sarajevo - Novo Sarajevo,111,5,četverosoban,centralno,0,1,0,1,350000
Sarajevo - Centar,81,visoko,četverosoban,centralno,0,1,0,0,255000
Sarajevo - Novi Grad,54,2,2,centralno,0,0,0,2,170000
Ilidža,76,5,četverosoban,struja,1,1,1,1,239000
Sarajevo - Novi Grad,57,1,2,plin,0,1,0,1,179000
Sarajevo - Stari Grad,51,1,3,struja,0,0,0,2,160000
Sarajevo - Centar,118,4,3,plin,0,1,0,0,370000
Sarajevo - Centar,118,3,3,ostalo,0,1,0,1,370000
Sarajevo - Novi Grad,83,6,3,centralno,1,0,0,1,260000
Sarajevo - Novi Grad,70,1,3,centralno,0,0,0,2,219000
Vogošća,48,5,2,centralno,0,1,0,2,150000
Sarajevo - Novo Sarajevo,83,4,3,plin,1,1,0,0,259000
Sarajevo - Novi Grad,77,6,3,centralno,0,1,0,2,240000
Sarajevo - Novi Grad,77,3,3,centralno,1,1,0,1,240000
Sarajevo - Novi Grad,77,3,3,centralno,1,1,0,2,240000
Sarajevo - Centar,112,5,četverosoban,centralno,0,1,0,0,349000
Sarajevo - Centar,112,5,četverosoban,plin,0,1,0,0,349000
Sarajevo - Centar,80,visoko,3,centralno,0,1,0,0,249000
Sarajevo - Centar,80,prizemlje,3,centralno,0,0,0,0,249000
Sarajevo - Centar,80,visoko,3,centralno,0,1,0,2,249000
Sarajevo - Centar,80,visoko,3,plin,0,1,0,0,249000
Ilidža,90,1,3,plin,1,1,1,2,280000
Ilidža,74,6,2,centralno,1,0,0,2,230000
Sarajevo - Stari Grad,103,2,četverosoban,centralno,0,1,0,0,320000
Ilidža,70,4,3,centralno,0,0,0,0,217000
Ilidža,61,10,2,centralno,1,0,0,2,189000
Sarajevo - Novi Grad,61,visoko,3,centralno,1,1,0,0,189000
Sarajevo - Novi Grad,73,visoko,3,plin,1,1,0,2,226000
Ilidža,71,4,3,centralno,1,1,0,1,219500
Ilidža,71,4,3,centralno,0,1,0,1,219500
Sarajevo - Centar,56,4,2,centralno,0,1,0,0,173000
Sarajevo - Centar,113,5,četverosoban,centralno,0,1,0,2,349000
Sarajevo - Stari Grad,102,4,3,plin,0,1,0,1,315000
Ilidža,58,3,2,centralno,0,0,0,1,179000
Sarajevo - Novi Grad,60,15,3,centralno,1,1,0,2,185000
Sarajevo - Centar,97,4,3,struja,0,0,0,2,299000
Sarajevo - Novi Grad,65,4,3,centralno,1,1,0,1,200000
Ilidža,70,1,2,plin,1,1,0,1,215000
Ilidža,71,4,3,centralno,0,1,0,1,218000
Sarajevo - Centar,79,2,3,centralno,0,0,0,2,242000
Sarajevo - Novi Grad,80,9,3,centralno,1,1,0,2,245000
Sarajevo - Novi Grad,77,7,3,centralno,0,1,0,2,235000
Ilidža,59,1,3,centralno,0,1,1,2,180000
Ilidža,82,8,3,centralno,1,1,0,1,250000
Sarajevo - Novo Sarajevo,62,2,2,centralno,0,1,0,2,189000
Sarajevo - Novi Grad,65,2,3,centralno,0,1,0,1,198000
Sarajevo - Centar,92,3,3,centralno,0,0,0,0,280000
Sarajevo - Centar,69,prizemlje,3,struja,0,1,0,2,210000
Sarajevo - Novo Sarajevo,120,8,5,centralno,0,1,0,0,365000
Ilidža,63,12,3,centralno,1,1,1,2,191610
Ilidža,63,12,3,centralno,1,1,0,2,191500
Sarajevo - Novi Grad,54,5,2,centralno,1,1,0,1,164000
Sarajevo - Centar,56,4,2,plin,0,1,0,1,170000
Sarajevo - Novi Grad,56,visoko,2,struja,1,1,0,2,170000
Sarajevo - Centar,56,3,2,centralno,0,1,0,0,170000
Sarajevo - Centar,72,1,3,plin,0,1,0,0,218000
Ilidža,86,9,četverosoban,centralno,1,1,0,2,260000
Sarajevo - Novo Sarajevo,86,3,četverosoban,plin,0,0,0,2,260000
Sarajevo - Centar,124,prizemlje,5,centralno,0,1,0,2,374500
Vogošća,120,1,četverosoban,plin,0,1,1,0,361625
Sarajevo - Novi Grad,78,9,3,centralno,1,1,0,2,235000
Sarajevo - Centar,108,5,četverosoban,centralno,0,0,0,2,325000
Vogošća,85,4,3,plin,0,1,1,0,255150
Vogošća,85,4,3,plin,1,0,1,0,255150
Sarajevo - Stari Grad,125,3,četverosoban,centralno,0,1,0,2,375000
Sarajevo - Centar,120,4,četverosoban,struja,0,1,0,1,360000
Sarajevo - Novi Grad,112,2,5,centralno,0,0,0,1,336000
Sarajevo - Stari Grad,90,1,četverosoban,plin,0,1,0,0,270000
Sarajevo - Centar,87,prizemlje,3,plin,0,0,0,2,261000
Sarajevo - Novi Grad,87,4,četverosoban,centralno,0,1,0,0,261000
Ilidža,80,7,3,centralno,1,1,0,1,240000
Sarajevo - Novo Sarajevo,73.35,5,četverosoban,centralno,1,0,1,0,220050
Sarajevo - Centar,72,1,3,struja,0,0,0,0,216000
Sarajevo - Novi Grad,72,2,3,centralno,1,0,0,2,216000
Sarajevo - Centar,70,prizemlje,3,centralno,0,0,0,0,210000
Sarajevo - Novi Grad,68,4,3,centralno,1,1,0,1,204000
Sarajevo - Stari Grad,66,1,3,ostalo,0,1,0,0,198000
Ilidža,66,3,2,plin,1,1,0,0,198000
Ilidža,65,3,2,plin,1,0,0,2,195000
Sarajevo - Novi Grad,60,13,3,centralno,1,0,0,2,180000
Ilidža,58,1,2,centralno,0,0,1,1,174000
Ilidža,55,4,3,centralno,0,0,0,2,165000
Sarajevo - Novo Sarajevo,53,1,2,centralno,0,1,0,1,159000
Sarajevo - Novo Sarajevo,51,prizemlje,2,centralno,0,1,0,2,153000
Sarajevo - Novo Sarajevo,50,2,2,centralno,0,0,0,0,150000
Sarajevo - Novi Grad,50,2,2,centralno,0,0,0,2,150000
Vogošća,67.78,3,3,centralno,1,0,1,0,203339
Sarajevo - Novi Grad,68,4,3,centralno,1,1,0,1,203900
Sarajevo - Centar,87,1,3,centralno,0,1,0,2,260000
Ilidža,77,2,3,plin,0,0,0,2,230000
Sarajevo - Novi Grad,68,4,3,centralno,1,1,0,2,203000
Sarajevo - Novi Grad,68,4,3,centralno,1,1,0,2,203000
Sarajevo - Novo Sarajevo,65,4,2,centralno,0,0,0,0,194000
Sarajevo - Novo Sarajevo,52,1,3,struja,0,1,0,2,155000
Sarajevo - Novi Grad,77,12,3,centralno,1,0,0,0,229000
Ilidža,77,4,3,centralno,1,1,0,2,229000
Sarajevo - Stari Grad,77,5,četverosoban,centralno,0,1,0,2,229000
Vogošća,54,5,2,plin,1,1,0,2,160000
Ilidža,76,7,3,plin,1,1,0,1,225000
Sarajevo - Novo Sarajevo,76,20+,četverosoban,centralno,1,1,0,2,225000
Sarajevo - Novi Grad,65,2,3,centralno,0,1,0,0,192000
Sarajevo - Novi Grad,100,1,3,struja,1,1,0,2,295000
